Seed,Name,Perfection,Shield Strength,Health,LS Tanks,SP Power,Drain,Sprint
93095,Non-compliant Bulwark,0.118,,,,,15%,
93096,Writhing Shield Tanks,0.028,,,,8%,,10%
93097,Doomed Capacitor,0.147,,33%,,12%,8%,17%
93098,Aeronic Heat Sink,0.211,,,,,22%,
93099,Aeronic Diffuser,0.461,33%,33%,,,,
93100,Cursed Harvester,0.019,,,13%,,,
93101,Cursed Diffuser,0.23,,,,69%,,
93102,Polymorphous Filter,0.25,,33%,,,,
93103,Rescued Loom,0.079,,,,,12%,
93104,Cursed Generator,0.05,15%,,,,,
93105,Nanite-Marked Capacitor,0.026,,,16%,,,
93106,Anointed Dampener,0.115,,,,35%,,
93107,Nanite-Marked Turbine,0.171,,33%,40%,,,
93108,Impossible Battery,0.19,29%,,,,,
93109,Released Diffuser,0.322,21%,33%,,32%,,
93110,Writhing Generator,0.25,,33%,,,,
93111,Anomalous Harvester,0.203,32%,33%,12%,12%,,
93112,Extinguished Load Balancer,0.409,14%,,,,13%,50%
93113,Doomed Generator,0.026,,,,,8%,
93114,Impossible Dampener,0.013,,33%,,2%,,
93115,Crimson Diffuser,0.017,,,,6%,,
93116,Relinquished Harvester,0.342,,,95%,33%,,
93117,Doomed Battery,0.258,30%,,36%,,,20%
93118,Rescued Harmoniser,0.053,,,,,10%,
93119,Extinguished Harmoniser,0.149,,,67%,,,
93120,Cursed Bulwark,0.007,,,,3%,,
93121,Relinquished Harvester,0.158,,,,,18%,
93122,Anointed Turbine,0.026,,,16%,,,
93123,Doomed Harvester,0.026,,,16%,,,
93124,Doomed Harvester,0.047,,,,15%,,
93125,Polymorphous Stabiliser,0.121,,,30%,,,22%
93126,Impossible Harvester,0.269,,,,18%,11%,39%
93127,Extinguished Regulator,0.195,,,47%,,6%,13%
93128,Non-compliant Stabiliser,0.098,,,,,19%,10%
93129,Released Harmoniser,0.112,,,,,,32%
93130,Impossible Regulator,0.049,,,,13%,,10%
93131,Forsaken Energy Field,0.2,31%,,17%,12%,6%,
93132,Writhing Loom,0,,,,,,10%
93133,Nanite-Marked Turbine,0.332,32%,33%,,,,20%
93134,Forsaken Battery,0.132,,,,,16%,
93135,Rescued Filter,0.211,28%,,,,11%,13%
93136,Impossible Exhaust,0.145,34%,,5%,,10%,
93137,Polymorphous Energy Field,0.236,,,40%,50%,,
93138,Aeronic Bulwark,0.227,34%,,19%,11%,8%,
93139,Relinquished Dynamo,0.25,,33%,,,,
93140,Glassy Dynamo,0.25,,33%,,,,
93141,Impossible Filter,0.03,,33%,,,,12%
93142,Non-compliant Bulwark,0.122,17%,,,8%,11%,
93143,Haunted Capacitor,0.034,,,,11%,,
93144,Non-compliant Exhaust,0.072,,,35%,,,
93145,Writhing Load Balancer,0.209,,,92%,,,
93146,Impossible Diffuser,0.17,27%,,,,,
93147,Non-compliant Harmoniser,0.013,,,,,7%,
93148,Relinquished Bulwark,0.176,32%,33%,11%,,,12%
93149,Forsaken Capacitor,0.24,34%,,,,,
93150,Cursed Regulator,0.046,,,24%,,,
93151,Extinguished Filter,0.105,,,,,14%,
93152,Impossible Battery,0.082,,,,,,26%
93153,Doomed Loom,0.097,,33%,,4%,14%,
93154,Anointed Capacitor,0.143,,33%,34%,,,
93155,Glassy Dampener,0.143,,,,,,38%
93156,Anomalous Bulwark,0.213,33%,33%,,2%,6%,
93157,Writhing Harvester,0.026,,,,,,15%
93158,Forsaken Dynamo,0.208,33%,33%,20%,4%,,
93159,Relinquished Loom,0.003,,,,2%,,
93160,Watery Shield Tanks,0.25,,33%,,,,
93161,Extinguished Harvester,0.426,,33%,66%,2%,,44%
93162,Crimson Heat Sink,0.168,33%,,25%,,,
93163,Glassy Stabiliser,0.199,,33%,,,13%,
93164,Cursed Load Balancer,0.22,,,,19%,,46%
93165,Anointed Heat Sink,0.089,10%,33%,,12%,,
93166,Forsaken Energy Field,0,,,,,6%,
93167,Anomalous Turbine,0.146,31%,,6%,9%,8%,
93168,Anomalous Harvester,0.237,,,,,24%,
93169,Relinquished Dampener,0.013,,,,,7%,
93170,Anomalous Shield Tanks,0.566,,33%,52%,,8%,58%
93171,Writhing Dampener,0.062,,,5%,23%,,
93172,Forsaken Generator,0.003,,,,2%,,
93173,Anointed Turbine,0.176,31%,33%,11%,,,13%
93174,Salvaged Battery,0.23,33%,,,,,
93175,Released Stabiliser,0.177,32%,,18%,5%,6%,
93176,Impossible Exhaust,0.263,33%,33%,,6%,8%,
93177,Cursed Heat Sink,0.071,,,,,,24%
93178,Extinguished Harmoniser,0.071,,,,,,24%
93179,Glassy Dampener,0.178,32%,,14%,7%,8%,
93180,Forsaken Regulator,0.005,,,,,,11%
93181,Impossible Heat Sink,0.26,,,83%,2%,,10%
93182,Relinquished Energy Field,0.25,,33%,,,,
93183,Extinguished Diffuser,0.092,,,,,,28%
93184,Cursed Battery,0.123,29%,,,6%,,
93185,Rescued Loom,0.071,,33%,20%,2%,,
93186,Watery Energy Field,0.2,,,88%,,,
93187,Forsaken Dampener,0.25,,33%,,,,
93188,Writhing Stasis Tank,0.22,32%,,,,,
93189,Watery Diffuser,0.03,13%,,,,,
93190,Haunted Harvester,0.233,34%,33%,17%,11%,,
93191,Crimson Shield Tanks,0.012,,,10%,,,
93192,Released Bulwark,0.15,25%,,,,,
93193,Non-compliant Dampener,0.18,23%,33%,23%,,,10%
93194,Nanite-Marked Filter,0.25,,33%,,,,
93195,Glassy Heat Sink,0.214,,,94%,,,
93196,Extinguished Energy Field,0.16,,33%,,24%,,
93197,Cursed Load Balancer,0.525,,33%,,72%,,25%
93198,Salvaged Energy Field,0.335,,,17%,33%,19%,35%
93199,Cursed Dampener,0.877,29%,33%,92%,73%,,
93200,Haunted Harmoniser,0.4,,33%,88%,,,
93201,Aeronic Diffuser,0.277,,,,24%,,55%
93202,Anomalous Capacitor,0.057,,,,18%,,
93203,Doomed Turbine,0.25,,33%,,,,
93204,Watery Filter,0.071,,33%,6%,11%,8%,
93205,Forsaken Filter,0.077,,,,,,25%
93206,Crimson Capacitor,0.229,32%,33%,,5%,6%,
93207,Haunted Exhaust,0,,,,,6%,
93208,Released Turbine,0.039,,,,,9%,
93209,Released Harmoniser,0.25,,33%,,,,
93210,Writhing Bulwark,0.25,,33%,,,,
93211,Glassy Harmoniser,0.175,,,78%,,,
93212,Forsaken Stasis Tank,0.25,,33%,,,,
93213,Polymorphous Dampener,0.73,13%,33%,92%,,24%,
93214,Impossible Battery,0.105,,,,,14%,
93215,Nanite-Marked Generator,0.176,,,,53%,,
93216,Haunted Stasis Tank,0.099,,33%,,,9%,
93217,Rescued Energy Field,0.219,,,,,,53%
93218,Salvaged Harmoniser,0.257,,33%,58%,,,
93219,Forsaken Exhaust,0,,,,,6%,
93220,Doomed Stasis Tank,0.2,33%,,16%,10%,7%,
93221,Anomalous Diffuser,0.218,34%,33%,,3%,,15%
93222,Anointed Diffuser,0.093,,,16%,10%,8%,11%
93223,Salvaged Shield Tanks,0.083,27%,,9%,,,
93224,Doomed Harvester,0.176,,33%,41%,,,
93225,Aeronic Regulator,0.25,,33%,,,,
93226,Anointed Bulwark,0.21,,,79%,2%,,
93227,Watery Stabiliser,0.005,,,,,,11%
93228,Doomed Diffuser,0.143,,,,,,38%
93229,Watery Stasis Tank,0.25,,33%,,,,
93230,Released Stasis Tank,0.068,,,,21%,,
93231,Polymorphous Harmoniser,0.25,,33%,,,,
93232,Haunted Energy Field,0.306,34%,,,,9%,
93233,Crimson Filter,0.074,,33%,,,8%,
93234,Anointed Load Balancer,0.017,,,,6%,,
93235,Aeronic Harvester,0.036,,,,,,17%
93236,Aeronic Dynamo,0.21,31%,,,,,
93237,Haunted Harmoniser,0.163,,,,,,42%
93238,Cursed Loom,0.161,33%,,14%,7%,,12%
93239,Non-compliant Loom,0.126,,,,,14%,19%
93240,Impossible Battery,0.02,,,,7%,,
93241,Rescued Generator,0.005,,,,,,11%
93242,Anointed Shield Tanks,0.25,,33%,,,,
93243,Impossible Heat Sink,0.145,,,,,17%,
93244,Forsaken Energy Field,0.119,,,7%,34%,,11%
93245,Non-compliant Exhaust,0.066,,,,,11%,
93246,Crimson Capacitor,0.095,,,,29%,,
93247,Anointed Shield Tanks,0.174,,33%,,,12%,
93248,Watery Regulator,0.22,32%,,,,,
93249,Nanite-Marked Bulwark,0.061,,,,,,22%
93250,Crimson Filter,0.062,22%,,5%,,6%,
93251,Crimson Heat Sink,0.036,,,,,,17%
93252,Glassy Stabiliser,0.179,,,,54%,,
93253,Watery Exhaust,0.145,,,,44%,,
93254,Glassy Dynamo,0.05,15%,,,,,
93255,Glassy Turbine,0.415,28%,33%,,,12%,
93256,Watery Generator,0.097,,,17%,11%,7%,11%
93257,Haunted Filter,0.014,,,,5%,,
93258,Aeronic Stasis Tank,0.107,,,,,,31%
93259,Cursed Generator,0.551,,,107%,,11%,30%
93260,Haunted Exhaust,0.303,19%,,,,,46%
93261,Extinguished Turbine,0.092,,,,,,28%
93262,Rescued Harmoniser,0.233,,,102%,,,
93263,Released Diffuser,0.22,32%,,,,,
93264,Forsaken Diffuser,0,,,,,,10%
93265,Writhing Harmoniser,0.038,,33%,12%,,,
93266,Anomalous Dampener,0.055,,33%,10%,6%,6%,
93267,Impossible Turbine,0.047,,,,15%,,
93268,Rescued Capacitor,0,,,,,6%,
93269,Rescued Heat Sink,0.139,,,,42%,,
93270,Salvaged Capacitor,0.22,32%,,,,,
93271,Polymorphous Capacitor,0.31,34%,33%,,,7%,13%
93272,Salvaged Harmoniser,0.13,23%,,,,,
93273,Aeronic Harmoniser,0.246,34%,33%,,5%,6%,
93274,Released Diffuser,0.012,,,10%,,,
93275,Anomalous Diffuser,0.442,32%,33%,,,,
93276,Writhing Stabiliser,0.077,,,37%,,,
93277,Forsaken Energy Field,0.25,,33%,,,,
93278,Glassy Generator,0.079,17%,,,,6%,
93279,Salvaged Stabiliser,0.24,34%,,,,,
93280,Non-compliant Dampener,0.178,,,79%,,,
93281,Impossible Battery,0.158,,,,,18%,
93282,Released Generator,0.174,31%,,12%,,7%,15%
93283,Nanite-Marked Shield Tanks,0.102,,,,,,30%
93284,Impossible Harmoniser,0.469,,,,75%,18%,13%
93285,Non-compliant Loom,0.25,,33%,,,,
93286,Glassy Diffuser,0,,,,,6%,
93287,Haunted Harvester,0.4,,33%,,60%,,
93288,Crimson Capacitor,0.005,,,,,,11%
93289,Glassy Generator,0.24,34%,,,,,
93290,Extinguished Dynamo,0.151,,,68%,,,
93291,Cursed Stasis Tank,0.148,,,,,,39%
93292,Non-compliant Battery,0.08,18%,,,,,
93293,Impossible Dampener,0.105,,,,,14%,
93294,Anomalous Diffuser,0.219,,,,,,53%
93295,Nanite-Marked Stabiliser,0.109,,33%,18%,11%,,11%
93296,Crimson Harmoniser,0.057,,,11%,9%,6%,10%
93297,Crimson Energy Field,0.089,,33%,,3%,14%,
93298,Anointed Battery,0.245,,,,,,58%
93299,Released Loom,0,,,,,,10%
93300,Relinquished Heat Sink,0.25,,33%,,,,
93301,Cursed Capacitor,0.053,,33%,,8%,,
93302,Relinquished Battery,0.1,20%,,,,,
93303,Anomalous Generator,0.092,,33%,17%,,7%,12%
93304,Impossible Harvester,0.328,10%,,41%,54%,,
93305,Impossible Generator,0.25,,33%,,,,
93306,Impossible Loom,0.062,,,31%,,,
93307,Crimson Turbine,0.24,34%,,,,,
93308,Haunted Diffuser,0.24,34%,,,,,
93309,Non-compliant Stabiliser,0.01,,,,,,12%
93310,Relinquished Generator,0.079,,,,,12%,
93311,Anointed Filter,0.132,,,,,16%,
93312,Relinquished Heat Sink,0.24,34%,,,,,
93313,Extinguished Capacitor,0.172,,,,52%,,
93314,Anomalous Capacitor,0.012,,,10%,,,
93315,Writhing Dynamo,0.158,,,,,18%,
93316,Nanite-Marked Capacitor,0.02,,,,,,14%
93317,Haunted Stabiliser,0.25,,33%,,,,
93318,Haunted Stabiliser,0.322,14%,,64%,,7%,
93319,Crimson Energy Field,0.25,,33%,,,,
93320,Rescued Capacitor,0.139,,,63%,,,
93321,Writhing Generator,0.015,,,,,,13%
93322,Relinquished Bulwark,0.05,15%,,,,,
93323,Relinquished Energy Field,0.25,,33%,,,,
93324,Impossible Bulwark,0.075,,33%,17%,3%,6%,
93325,Watery Bulwark,0,,,,,6%,
93326,Forsaken Harvester,0.134,,,,29%,,15%
93327,Salvaged Stasis Tank,0.171,,,,,19%,
93328,Crimson Load Balancer,0.179,34%,33%,14%,3%,,
93329,Watery Harvester,0.025,,,9%,,8%,
93330,Anointed Dynamo,0.092,,,,,13%,
93331,Cursed Loom,0.18,31%,,20%,10%,,10%
93332,Released Stabiliser,0.237,33%,33%,18%,,,15%
93333,Forsaken Stasis Tank,0.183,24%,33%,5%,23%,,
93334,Aeronic Heat Sink,0.163,,,73%,,,
93335,Rescued Generator,0.056,,,,,,21%
93336,Salvaged Filter,0,,,,,6%,
93337,Anomalous Harmoniser,0.108,,,50%,,,
93338,Salvaged Generator,0.143,,,,,,38%
93339,Extinguished Regulator,0.27,,33%,,,,36%
93340,Salvaged Generator,0,,,5%,,,
93341,Forsaken Energy Field,0.71,,33%,74%,72%,6%,
93342,Polymorphous Harmoniser,0.171,,,,,19%,
93343,Nanite-Marked Harmoniser,0.171,,,,,19%,
93344,Rescued Exhaust,0.187,,33%,,28%,,
93345,Anomalous Dampener,0.013,,,,,7%,
93346,Aeronic Capacitor,0,,,,,6%,
93347,Forsaken Heat Sink,0.22,32%,,,,,
93348,Released Filter,0.03,,33%,,,,12%
93349,Cursed Shield Tanks,0.258,34%,33%,16%,,8%,
93350,Glassy Load Balancer,0.25,,33%,,,,
93351,Haunted Harvester,0.071,,33%,7%,11%,7%,
93352,Crimson Dynamo,0.231,34%,33%,14%,,6%,
93353,Aeronic Battery,0.25,,33%,,,,
93354,Anointed Stabiliser,0.065,,,32%,,,
93355,Rescued Energy Field,0.21,31%,,,,,
93356,Aeronic Harmoniser,0.034,,,,11%,,
93357,Polymorphous Generator,0.169,32%,,13%,,7%,12%
93358,Anomalous Bulwark,0.092,,,,,13%,
93359,Released Regulator,0.192,,,85%,,,
93360,Writhing Stasis Tank,0.24,34%,,,,,
93361,Nanite-Marked Regulator,0.139,,33%,,7%,,26%
93362,Rescued Battery,0.137,20%,,,16%,,12%
93363,Extinguished Load Balancer,0.218,34%,,18%,11%,7%,
93364,Forsaken Heat Sink,0,,,,,6%,
93365,Non-compliant Shield Tanks,0.519,34%,,65%,,24%,
93366,Cursed Harmoniser,0.01,,33%,,,,10%
93367,Writhing Heat Sink,0.118,,,,36%,,
93368,Glassy Shield Tanks,0.25,,33%,,,,
93369,Extinguished Dynamo,0.204,,,,,,50%
93370,Polymorphous Filter,0.378,25%,,,2%,8%,55%
93371,Aeronic Loom,0.237,34%,33%,19%,,,13%
93372,Nanite-Marked Loom,0.24,34%,,,,,
93373,Non-compliant Shield Tanks,0,,,5%,,,
93374,Forsaken Loom,0.579,,33%,,71%,8%,
93375,Polymorphous Generator,0.066,,,,,11%,
93376,Impossible Capacitor,0.211,20%,33%,,,,
93377,Impossible Bulwark,0.005,,,,2%,6%,
93378,Aeronic Shield Tanks,0.123,32%,,,3%,,
93379,Released Generator,0.24,34%,,,,,
93380,Polymorphous Turbine,0.212,,,93%,,,
93381,Polymorphous Filter,0.041,,,,,,18%
93382,Non-compliant Loom,0.097,,,,,,29%
93383,Anomalous Filter,0.141,,,20%,,22%,11%
93384,Watery Capacitor,0.077,,33%,,4%,7%,16%
93385,Aeronic Regulator,0.046,,,,,,19%
93386,Writhing Diffuser,0.18,33%,,14%,,9%,
93387,Impossible Heat Sink,0.24,34%,,,,,
93388,Watery Loom,0.194,,,,,,48%
93389,Cursed Battery,0.026,,,,,8%,
93390,Haunted Dampener,0.22,32%,,,,,
93391,Released Regulator,0.04,14%,,,,,
93392,Non-compliant Capacitor,0.015,,,,,,13%
93393,Haunted Shield Tanks,0.25,,33%,,,,
93394,Crimson Shield Tanks,0.092,,,,,13%,
93395,Salvaged Heat Sink,0.109,,33%,19%,,6%,14%
93396,Released Energy Field,0.005,,33%,5%,,,
93397,Extinguished Filter,0.44,,33%,,,,53%
93398,Haunted Bulwark,0.09,19%,,,,,
93399,Anomalous Harvester,0.32,31%,33%,,,8%,16%
93400,Writhing Bulwark,0.338,21%,,,57%,,
93401,Crimson Harvester,0.014,,33%,7%,,,
93402,Relinquished Shield Tanks,0.25,,33%,,,,
93403,Non-compliant Filter,0.084,,,40%,,,
93404,Salvaged Diffuser,0.007,,,8%,,,
93405,Watery Regulator,0.036,,,,,,17%
93406,Rescued Regulator,0.003,,,,2%,,
93407,Haunted Load Balancer,0.125,,,57%,,,
93408,Writhing Stabiliser,0.051,,,,16%,,
93409,Polymorphous Stabiliser,0.078,,,,24%,,
93410,Non-compliant Energy Field,0.046,,,24%,,,
93411,Salvaged Dampener,0.237,,,,,24%,
93412,Relinquished Harmoniser,0.092,,33%,15%,6%,,15%
93413,Writhing Diffuser,0.026,,,,,8%,
93414,Impossible Filter,0.23,33%,,,,,
93415,Haunted Heat Sink,0.01,,,,4%,,
93416,Nanite-Marked Bulwark,0.139,34%,,,4%,,
93417,Doomed Dampener,0.25,,33%,,,,
93418,Released Load Balancer,0.246,33%,33%,,6%,6%,
93419,Released Bulwark,0.135,,,,41%,,
93420,Glassy Harmoniser,0.005,,,,,,11%
93421,Released Regulator,0.071,,33%,19%,,,
93422,Extinguished Diffuser,0.25,,33%,,,,
93423,Crimson Harmoniser,0.423,31%,33%,,,,
93424,Released Energy Field,0.02,,,,,,14%
93425,Extinguished Load Balancer,0.029,,,5%,,13%,
93426,Watery Load Balancer,0.005,,,,,,11%
93427,Writhing Load Balancer,0.013,,,,,7%,
93428,Non-compliant Loom,0.31,20%,,,36%,10%,
93429,Cursed Shield Tanks,0.25,,33%,,,,
93430,Crimson Heat Sink,0.091,,,43%,,,
93431,Rescued Bulwark,0.044,21%,,5%,,,
93432,Salvaged Regulator,0.024,,33%,,,6%,
93433,Writhing Dampener,0.346,27%,33%,,,,
93434,Anomalous Load Balancer,0.02,,,,,,14%
93435,Impossible Stasis Tank,0.271,33%,,,,7%,
93436,Salvaged Regulator,0.584,34%,,89%,51%,,
93437,Released Loom,0.16,26%,,,,,
93438,Polymorphous Diffuser,0.4,,33%,,,21%,
93439,Aeronic Exhaust,0.032,,,,9%,,10%
93440,Aeronic Exhaust,0.13,23%,,,,,
93441,Non-compliant Harvester,0.395,,33%,30%,,20%,38%
93442,Watery Regulator,0.066,,,,,11%,
93443,Doomed Capacitor,0.067,,,10%,,17%,
93444,Writhing Exhaust,0.175,34%,,10%,,6%,15%
93445,Relinquished Harmoniser,0.044,,,,14%,,
93446,Anomalous Regulator,0.041,,,,,,18%
93447,Relinquished Harmoniser,0.307,,,,,10%,48%
93448,Aeronic Diffuser,0.227,20%,,,36%,,
93449,Extinguished Exhaust,0.092,,33%,16%,,6%,14%
93450,Watery Dynamo,0.25,,,109%,,,
93451,Doomed Bulwark,0.228,,,100%,,,
93452,Watery Bulwark,0.101,14%,,27%,,,
93453,Anointed Capacitor,0.031,,,,,,16%
93454,Polymorphous Exhaust,0.137,29%,33%,5%,,6%,
93455,Anointed Capacitor,0.073,,33%,16%,,,13%
93456,Anointed Energy Field,0.218,33%,,,5%,8%,17%
93457,Relinquished Energy Field,0.128,,,,,,35%
93458,Cursed Loom,0.091,,,,28%,,
93459,Released Capacitor,0.31,23%,,,,,43%
93460,Rescued Turbine,0.158,,,,,,41%
93461,Impossible Generator,0.057,12%,33%,,,,
93462,Extinguished Stabiliser,0.25,,33%,,,,
93463,Glassy Bulwark,0.295,,33%,,29%,14%,
93464,Watery Heat Sink,0.124,,33%,5%,6%,24%,
93465,Forsaken Capacitor,0.027,,,,9%,,
93466,Watery Shield Tanks,0.063,,33%,,3%,8%,14%
93467,Relinquished Load Balancer,0.07,17%,,,,,
93468,Salvaged Stasis Tank,0.244,,33%,12%,,11%,39%
93469,Rescued Harvester,0.095,,,,29%,,
93470,Forsaken Stabiliser,0.082,,,39%,,,
93471,Crimson Bulwark,0.076,13%,33%,,,,
93472,Cursed Stabiliser,0.169,31%,33%,12%,6%,,
93473,Relinquished Filter,0.034,,,,11%,,
93474,Relinquished Generator,0.163,,,5%,17%,,43%
93475,Forsaken Dynamo,0.036,,,20%,,,
93476,Salvaged Bulwark,0.158,,,,,18%,
93477,Polymorphous Load Balancer,0.429,20%,,65%,,7%,24%
93478,Cursed Shield Tanks,0.25,,33%,,,,
93479,Watery Generator,0.046,,,24%,,,
93480,Nanite-Marked Heat Sink,0.168,33%,,25%,,,
93481,Impossible Dynamo,0.186,,,,56%,,
93482,Aeronic Regulator,0.056,,,5%,,,27%
93483,Salvaged Generator,0.026,,,,,,15%
93484,Aeronic Harmoniser,0.25,,33%,,,,
93485,Cursed Stasis Tank,0.02,,,,7%,,
93486,Anointed Stabiliser,0.155,34%,33%,9%,3%,,
93487,Writhing Filter,0,,,,,6%,
93488,Nanite-Marked Battery,0.158,,,,,,41%
93489,Anomalous Stasis Tank,0.223,,,,67%,,
93490,Doomed Capacitor,0.25,,33%,6%,,9%,48%
93491,Anomalous Energy Field,0.274,22%,,,,9%,29%
93492,Forsaken Generator,0.105,,,,32%,,
93493,Polymorphous Turbine,0.064,,,,20%,,
93494,Cursed Filter,0.105,,,,,14%,
93495,Extinguished Harvester,0.034,,,,11%,,
93496,Released Capacitor,0.133,,,,,,36%
93497,Aeronic Load Balancer,0.223,,,,67%,,
93498,Doomed Dampener,0.147,,33%,,22%,,
93499,Glassy Exhaust,0.01,,,,,,12%
93500,Anointed Shield Tanks,0,,,,,6%,
93501,Aeronic Harmoniser,0.218,33%,,6%,,24%,
93502,Writhing Bulwark,0.217,33%,33%,,5%,,14%
93503,Anointed Heat Sink,0.251,34%,33%,,12%,,11%
93504,Forsaken Heat Sink,0.11,,,18%,12%,8%,11%
93505,Forsaken Harvester,0.121,,,16%,33%,,
93506,Salvaged Harvester,0.179,33%,33%,14%,4%,,
93507,Salvaged Loom,0.179,,,,,,45%
93508,Haunted Heat Sink,0.01,,,,4%,,
93509,Watery Dynamo,0.136,27%,,,,,13%
93510,Impossible Energy Field,0.23,33%,,,,,
93511,Cursed Exhaust,0.168,,,,,6%,33%
93512,Impossible Generator,0.24,34%,,,,,
93513,Relinquished Energy Field,0.039,,,,,9%,
93514,Haunted Regulator,0.182,33%,,17%,5%,7%,
93515,Glassy Dampener,0.105,,,,,17%,13%
93516,Relinquished Battery,0.132,,,,,16%,
93517,Non-compliant Turbine,0.25,,33%,,,,
93518,Extinguished Shield Tanks,0.237,,,,,24%,
93519,Cursed Battery,0.159,,,,48%,,
93520,Relinquished Heat Sink,0.118,,,,,15%,
93521,Impossible Filter,0.605,26%,33%,93%,,,
93522,Salvaged Dampener,0.056,,,,,,21%
93523,Doomed Turbine,0.145,34%,,7%,8%,,13%
93524,Writhing Stabiliser,0.244,33%,33%,,4%,,19%
93525,Salvaged Energy Field,0.171,,,,,19%,
93526,Crimson Harvester,0.118,,,54%,,,
93527,Forsaken Load Balancer,0.214,,,94%,,,
93528,Doomed Dynamo,0.12,22%,,,,,
93529,Extinguished Shield Tanks,0.21,31%,,,,,
93530,Impossible Heat Sink,0.047,,33%,,7%,,
93531,Haunted Turbine,0.25,,33%,,,,
93532,Watery Bulwark,0.049,,33%,,,7%,
93533,Polymorphous Dampener,0.057,12%,33%,,,,
93534,Relinquished Load Balancer,0.237,,,,,24%,
93535,Polymorphous Turbine,0.25,,33%,,,,
93536,Rescued Dynamo,0.092,,,,,13%,
93537,Released Turbine,0.127,,,58%,,,
93538,Salvaged Dynamo,0.097,,,,,,29%
93539,Impossible Shield Tanks,0.026,,,,,8%,
93540,Non-compliant Heat Sink,0.026,,,,,8%,
93541,Aeronic Dampener,0.025,11%,,,5%,,
93542,Haunted Regulator,0.01,,33%,,,,10%
93543,Anointed Diffuser,0.061,,,,19%,,
93544,Nanite-Marked Stabiliser,0.182,21%,,,,11%,
93545,Impossible Capacitor,0.019,,,13%,,,
93546,Released Harvester,0.082,,,39%,,,
93547,Doomed Stabiliser,0.22,34%,33%,18%,,,11%
93548,Watery Dynamo,0,,,5%,,,
93549,Doomed Bulwark,0.048,,,25%,,,
93550,Polymorphous Loom,0,,,,,6%,
93551,Writhing Load Balancer,0.1,,33%,,,,19%
93552,Salvaged Loom,0.055,,,28%,,,
93553,Doomed Dynamo,0.092,,,,,,28%
93554,Doomed Shield Tanks,0.24,34%,,,,,
93555,Salvaged Filter,0.555,30%,33%,,54%,,
93556,Rescued Stasis Tank,0.25,,33%,,,,
93557,Rescued Load Balancer,0.22,32%,,,,,
93558,Glassy Dampener,0.024,,,,8%,,
93559,Aeronic Capacitor,0.309,34%,,,38%,,
93560,Extinguished Battery,0.024,,,,8%,,
93561,Impossible Dampener,0.051,,,,16%,,
93562,Glassy Dampener,0.147,,,66%,,,
93563,Anomalous Turbine,0.21,31%,,,,,
93564,Extinguished Filter,0.026,,,,,,15%
93565,Glassy Stabiliser,0.271,31%,33%,,10%,7%,
93566,Extinguished Stabiliser,0.271,25%,33%,,21%,,
93567,Relinquished Stabiliser,0.229,,,,44%,6%,
93568,Salvaged Bulwark,0.053,,,,,13%,10%
93569,Anointed Loom,0.34,25%,,64%,19%,,
93570,Watery Diffuser,0.25,,33%,,,,
93571,Polymorphous Capacitor,0.117,23%,,22%,,,
93572,Impossible Energy Field,0.056,,,14%,,6%,14%
93573,Anointed Loom,0.081,,,21%,14%,,
93574,Anointed Energy Field,0.211,20%,33%,,,,
93575,Crimson Regulator,0.026,,,,,8%,
93576,Anointed Generator,0.21,31%,,,,,
93577,Nanite-Marked Shield Tanks,0.25,,33%,,,,
93578,Salvaged Bulwark,0.107,,,,,,31%
93579,Writhing Stabiliser,0.226,,,38%,13%,20%,
93580,Crimson Loom,0.179,,,,54%,,
93581,Non-compliant Generator,0.463,26%,,,9%,14%,55%
93582,Nanite-Marked Regulator,0.176,,,,53%,,
93583,Rescued Harmoniser,0.076,14%,,,12%,,
93584,Forsaken Dampener,0.25,,33%,,,,
93585,Cursed Filter,0.051,,,,16%,,
93586,Rescued Capacitor,0.176,,,59%,,,10%
93587,Extinguished Generator,0.092,,33%,18%,,7%,11%
93588,Polymorphous Turbine,0.01,,,,4%,,
93589,Cursed Bulwark,0.269,23%,33%,,,,
93590,Haunted Regulator,0.22,32%,,,,,
93591,Impossible Stasis Tank,0.027,,,,9%,,
93592,Glassy Regulator,0.039,,,,,9%,
93593,Impossible Capacitor,0.205,32%,,18%,,8%,13%
93594,Salvaged Shield Tanks,0.551,32%,33%,,,,42%
93595,Haunted Harmoniser,0.26,,,,3%,17%,46%
93596,Relinquished Heat Sink,0.196,,,,59%,,
93597,Doomed Exhaust,0.163,,,,,,42%
93598,Polymorphous Turbine,0.092,,33%,18%,,7%,11%
93599,Salvaged Harvester,0.268,,,72%,,,25%
93600,Impossible Dampener,0.101,,,47%,,,
93601,Writhing Capacitor,0.531,20%,,87%,,19%,
93602,Doomed Generator,0.172,,,,52%,,
93603,Relinquished Generator,0.159,,,,48%,,
93604,Forsaken Bulwark,0.066,,33%,8%,6%,,16%
93605,Writhing Stasis Tank,0.077,,,37%,,,
93606,Watery Turbine,0.013,,,,,7%,
93607,Glassy Exhaust,0.036,,,,,,17%
93608,Extinguished Shield Tanks,0.445,,33%,78%,,6%,
93609,Haunted Energy Field,0.235,,,,,,56%
93610,Crimson Dampener,0.3,,,,,10%,47%
93611,Haunted Exhaust,0.1,,33%,25%,,,
93612,Nanite-Marked Stasis Tank,0.118,,,,,15%,
93613,Crimson Generator,0.169,33%,33%,11%,5%,,
93614,Rescued Stasis Tank,0.508,30%,33%,,23%,23%,
